core/section;mbsf;3He (pcc/g);3He/4He(x10-8);extraterrestrial 3He (pcc/g);3 He +/-;Carbonate Fraction;DBD (g/cm3);LSR (cm/kyr);LSR +/- 2 sigma;mean Depth (mbsf);Thickness (cm)
19H-3W-15-16;170.06;0.389149178;32.19844347;0.340805342;0.024171919;0.745537157;1.298730769;1.549881848;0.232482277;170.085;5
19H-3W-15-16;170.11;0.947546488;74.69341635;0.896803284;0.025371603;0.701124699;1.273692308;0.600568293;0.090085244;170.135;5
19H-3W-25-26;170.16;0.331758211;31.75020054;0.289962177;0.020898018;0.76073222;1.262384615;1.874092711;0.281113907;170.185;5
19H-3W-30-31;170.21;0.613800736;48.16852284;0.562829652;0.025485543;0.714182856;1.297115385;0.939655232;0.140948285;170.235;5
19H-3W-35-36;170.26;0.532835523;35.56642451;0.472909864;0.029962831;0.690713053;1.339923077;1.082594649;0.162389197;170.285;5
19H-3W-40-41;170.31;0.686706233;40.72030148;0.619250349;0.033727943;0.683713125;1.298730769;0.852979759;0.127946964;170.325;3
19H-3W-43-44;170.34;0.662101016;43.73832546;0.601549932;0.030275543;0.718043989;1.321346154;0.863049746;0.129457462;170.355;3
19H-3W-46-47;170.37;0.425504897;28.29119909;0.365344167;0.030080366;0.671148345;1.386769231;1.353997119;0.203099568;170.39;4
19H-3W-50-51;170.41;0.601402985;40.57851934;0.542120116;0.029641436;0.747689686;1.348;0.938725685;0.140808853;170.415;1
19H-3W-51-52;170.42;0.819095808;49.28950159;0.752623605;0.033236103;0.672106198;1.349615385;0.675361439;0.101304216;170.425;1
19H-3W-52-53;170.43;0.425021579;28.0121996;0.364330668;0.030345457;0.698771127;1.317307692;1.429358464;0.21440377;170.435;1
19H-3W-53-54;170.44;0.755344768;50.1076617;0.695047049;0.03014886;0.748718657;1.322153846;0.746496746;0.111974512;170.445;1
19H-3W-54-55;170.45;0.734102246;40.69337734;0.66194289;0.036079679;0.712948148;1.352846154;0.766046589;0.114906988;170.455;1
19H-3W-55-56;170.46;0.920101373;49.09251065;0.845132629;0.037484373;0.703137799;1.309230769;0.619987656;0.092998148;170.465;1
19H-3W-56-57;170.47;0.985447526;47.6910746;0.902794987;0.041326271;0.68499213;1.361730769;0.558012241;0.083701836;170.475;1
19H-3W-57-58;170.48;0.936156153;50.2088661;0.861575244;0.037290456;0.692586673;1.384346154;0.57515673;0.086273509;170.485;1
19H-3W-58-59;170.49;0.551435623;29.06065182;0.475534299;0.037950663;0.642973557;1.331038462;1.083806282;0.162570942;170.495;1
19H-3W-59-60;170.5;0.552883669;33.01276593;0.485893401;0.033495135;0.668451189;1.281769231;1.101471521;0.165220728;170.505;1
19H-3W-60-61;170.51;0.558234855;27.50495107;0.477051693;0.040591583;0.670227862;1.382730769;1.039970565;0.155995585;170.515;1
19H-3W-61-62;170.52;0.841282157;45.14032691;0.766734021;0.03727407;0.623758268;1.313269231;0.681279958;0.102191994;170.525;1
19H-3W-62-63;170.53;0.676111775;41.10562371;0.61031917;0.032896304;0.677247691;1.235730769;0.909584904;0.136437736;170.535;1
19H-3W-63-64;170.54;0.630040432;35.83651758;0.559716609;0.035161913;0.642714609;1.318923077;0.929258312;0.139388747;170.545;1
19H-3W-63-64;170.55;0.631291398;32.86466609;0.554456147;0.038417627;0.653084062;1.304384615;0.94853038;0.142279557;170.555;1
19H-3W-65-66;170.56;0.642777812;35.24926457;0.569836987;0.036470414;0.673623276;1.306807692;0.921216692;0.138182504;170.565;1
19H-3W-66-67;170.57;1.22699735;59.75574775;1.144863215;0.041067069;0.680919256;1.264807692;0.473746502;0.071061975;170.575;1
19H-3W-66-67;170.58;1.927072467;101.0421311;1.850784662;0.038143904;0.642252392;1.230076923;0.301325547;0.045198832;170.585;1
19H-3W-68-69;170.59;0.958285773;48.43055228;0.879138598;0.039573589;0.639072437;1.268846154;0.61497548;0.092246322;170.595;1
19H-3W-69-70;170.6;0.600219322;33.62993709;0.52882827;0.035695527;0.599474802;1.197769231;1.083019558;0.162452934;170.605;1
19H-3W-69-70;170.61;0.543005787;34.129721;0.47936558;0.031820105;0.66760486;1.238153846;1.155799913;0.173369987;170.615;1
19H-3W-71-72;170.62;0.504588043;26.60006935;0.428710357;0.037938845;0.654590301;1.280153846;1.249965353;0.187494803;170.625;1
19H-3W-72-73;170.63;0.494613528;29.17952256;0.426810719;0.033901406;0.665520173;1.304384615;1.232205465;0.18483082;170.635;1
19H-3W-73-74;170.64;0.990954345;52.21962072;0.915047714;0.037953317;0.674632485;1.288230769;0.581951387;0.087292708;170.645;1
19H-3W-74-75;170.65;0.992002863;56.7199368;0.922044933;0.034978966;0.658489204;1.288230769;0.577535071;0.086630261;170.655;1
19H-3W-75-76;170.66;0.676947273;39.22368346;0.607912754;0.034517261;0.692626995;1.312461538;0.859797693;0.128969654;170.665;1
19H-3W-76-77;170.67;0.727649032;45.39333221;0.663529594;0.03205972;0.735622738;1.332653846;0.77579408;0.116369112;170.675;1
19H-3W-77-78;170.68;1.240455645;73.86943785;1.173285523;0.033585062;0.685977325;1.348;0.433741035;0.065061155;170.685;1
19H-3W-78-80;170.69;0.906792855;65.13754147;0.851108082;0.027842388;0.752188434;1.313269231;0.6137417;0.092061255;170.705;3
19H-3W-81-82;170.72;0.488281435;34.13282215;0.431060115;0.028610661;0.764545782;1.479653846;1.075538963;0.161330844;170.725;1
19H-3W-82-83;170.73;0.936803227;66.18595095;0.880186823;0.028308203;0.774953881;1.420692308;0.54859169;0.082288753;170.735;1
19H-3W-83-84;170.74;0.72700196;46.15535513;0.66399721;0.031502376;0.737151313;1.385153846;0.745864349;0.111879652;170.745;1
19H-3W-84-85;170.75;0.862754364;59.63302249;0.804883483;0.028935442;0.790058733;1.477230769;0.576956081;0.086543412;170.755;1
19H-3W-85-86;170.76;0.412638638;45.22611752;0.376143047;0.018247796;0.781051801;1.352038462;1.34890707;0.202336061;170.765;1
19H-3W-86-87;170.77;0.749311053;55.70564061;0.695506041;0.026902507;0.809582798;1.349615385;0.730824653;0.109623698;170.775;1
19H-3W-87-88;170.78;0.5146314;52.91302339;0.475727469;0.019451966;0.845155502;1.234923077;1.16768575;0.175152863;170.785;1
19H-3W-88-89;170.79;0.340944661;37.57416511;0.304649026;0.018147818;0.860127702;1.343961538;1.675473186;0.251320978;170.795;1
19H-3W-88-89;170.8;0.510724362;53.39413464;0.472463672;0.019130346;0.862247171;1.343961538;1.080360891;0.162054134;170.805;1
19H-3W-90-91;170.81;0.462046839;48.39422338;0.423856609;0.019095116;0.831217554;1.341538462;1.206429722;0.180964458;170.815;1
19H-3W-91-92;170.82;0.647272084;67.77144746;0.609068876;0.019101605;0.835118314;1.2955;0.869401312;0.130410197;170.825;1
19H-3W-91-92;170.83;0.41706032;56.83402351;0.387707473;0.014676424;0.826746517;1.384346154;1.278130637;0.191719596;170.84;2
19H-3W-94-95;170.85;0.51989727;39.1204389;0.466738655;0.026579309;0.81729421;1.360923077;1.079982621;0.161997393;170.855;1
19H-3W-94-95;170.86;0.551959614;44.44206383;0.502280608;0.024839504;0.8279119;1.319730769;1.034885644;0.155232847;170.865;1
19H-3W-96-97;170.87;0.311623461;30.62123265;0.270916625;0.020353419;0.829272271;1.319730769;1.918682513;0.287802377;170.875;1
19H-3W-97-98;170.88;0.4293497;40.81231127;0.387269306;0.021040198;0.809806796;1.397269231;1.267742189;0.190161328;170.885;1
19H-3W-98-99;170.89;0.452943995;41.32776144;0.409104812;0.021919592;0.825481202;1.353653846;1.238744976;0.185811746;170.895;1
19H-3W-99-100;170.9;0.544734334;49.51170167;0.500725821;0.022004257;0.824038777;1.361730769;1.006080838;0.150912126;170.91;2
19H-3W-101-102;170.92;0.39141644;40.3843747;0.352647357;0.019384542;0.83851952;1.309230769;1.485823694;0.222873554;170.925;1
19H-3W-102-103;170.93;0.534725728;48.75307685;0.490853585;0.021936072;0.839102065;1.283384615;1.088968505;0.163345276;170.935;1
19H-3W-103-104;170.94;0.52870978;53.98359046;0.489534208;0.019587787;0.832809114;1.329423077;1.054090399;0.15811356;170.945;1
19H-3W-104-105;170.95;1.237463078;113.3753589;1.193804148;0.021829466;0.828293085;1.373846154;0.418266353;0.062739953;170.955;1
19H-3W-105-106;170.96;0.80805075;79.27699032;0.76727977;0.020385491;0.845710025;1.371423077;0.65192692;0.097789038;170.965;1
19H-3W-106-107;170.97;0.35732531;39.68950804;0.321313256;0.018006028;0.838359539;1.392423077;1.53328985;0.229993477;170.975;1
19H-3W-107-108;170.98;0.384555772;37.8704544;0.34393776;0.020309007;0.801286083;1.360923077;1.465583879;0.219837582;170.985;1
